gene	sample_1	sample_2	status	value_1	value_2	significant
AT1G02020	WT	hy5	NOTEST	3.43177	2.26916	no
AT1G02030	WT	hy5	NOTEST	0	0	no
AT1G02040	WT	hy5	LOWDATA	0.61817	0	no
AT1G02050	WT	hy5	LOWDATA	0.86075	0.48467	no
AT1G02060	WT	hy5	NOTEST	0	0.272304	no
AT1G02065	WT	hy5	NOTEST	0.322892	0	no
AT1G02070	WT	hy5	NOTEST	0	0	no
AT1G02074	WT	hy5	NOTEST	0	0	no
AT1G02080	WT	hy5	NOTEST	0.794134	2.9959	no
AT1G02090	WT	hy5	OK	6.20357	11.2399	no
AT1G02100	WT	hy5	NOTEST	5.68833	2.62203	no
AT1G02110	WT	hy5	LOWDATA	3.57899	3.6141	no
AT1G02120	WT	hy5	OK	11.3678	23.8411	yes
AT1G02130	WT	hy5	OK	12.3743	4.18194	no
AT1G02136	WT	hy5	NOTEST	0	0	no
AT1G02140	WT	hy5	OK	105.425	65.1563	yes
AT1G02145	WT	hy5	NOTEST	1.50959	2.32259	no
AT1G02150	WT	hy5	LOWDATA	11.3425	10.2414	no
AT1G02160	WT	hy5	OK	19.0626	22.3397	no
AT1G02170	WT	hy5	NOTEST	6.60023	3.09753	no
AT1G02180	WT	hy5	NOTEST	0	3.80213	no
AT1G02190	WT	hy5	NOTEST	0	0.724199	no
AT1G02205	WT	hy5	NOTEST	2.71649	4.04519	no
AT1G02210	WT	hy5	NOTEST	0	0	no
AT1G02220	WT	hy5	NOTEST	0	0.467399	no
AT1G02228	WT	hy5	NOTEST	0	0	no
AT1G02230	WT	hy5	NOTEST	0	0	no
AT1G02250	WT	hy5	NOTEST	0	0	no
AT1G02260	WT	hy5	NOTEST	2.82124	1.12582	no
AT1G02270	WT	hy5	NOTEST	0.985497	5.7652	no
AT1G02280	WT	hy5	OK	13.5746	16.4749	no
AT1G02290	WT	hy5	NOTEST	0.319972	2.25985	no
AT1G02300	WT	hy5	NOTEST	2.46274	6.83953	no
AT1G02305	WT	hy5	OK	21.6225	15.8153	no
AT1G02310	WT	hy5	NOTEST	0	0	no
AT1G02320	WT	hy5	NOTEST	0	0	no
AT1G02330	WT	hy5	NOTEST	1.74663	5.92468	no
AT1G02335	WT	hy5	NOTEST	1.00467	2.90979	no
AT1G02340	WT	hy5	NOTEST	1.49556	0	no
AT1G02350	WT	hy5	NOTEST	2.16907	0	no
AT1G02360	WT	hy5	NOTEST	6.53458	4.21229	no
AT1G02370	WT	hy5	NOTEST	2.09575	0.56768	no
AT1G02380	WT	hy5	NOTEST	0	0	no
AT1G02390	WT	hy5	NOTEST	0.30063	0	no
AT1G02391	WT	hy5	NOTEST	0	0	no
AT1G02400	WT	hy5	NOTEST	0	1.28597	no
AT1G02405	WT	hy5	NOTEST	0	0	no
AT1G02410	WT	hy5	NOTEST	1.04479	3.60043	no
AT1G02420	WT	hy5	NOTEST	0.523137	0.422242	no
AT1G02430	WT	hy5	NOTEST	0	0	no
AT1G02440	WT	hy5	NOTEST	0	0	no
AT1G02450	WT	hy5	NOTEST	0	0	no
AT1G02460	WT	hy5	NOTEST	0	0	no
AT1G02470	WT	hy5	NOTEST	0.731602	0	no
